Code,Name,Old Location,New Location,Coming Stock,Stock
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
PR3926,P-01-04_3926 Bathroom Cabinet White 90*41*25cm _DP_CAS_,P-01-04,R-01-04,20,0
,,,,0.0,17.0
,,,,0.0,4.0
,,,,0.0,13.0
,,,,0.0,7.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,2.0
,,,,0.0,0.0
,,,,0.0,10.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,1.0
,,,,0.0,0.0
,,,,0.0,1.0
,,,,0.0,8.0
,,,,0.0,0.0
,,,,0.0,1.0
,,,,0.0,8.0
,,,,0.0,0.0
,,,,0.0,8.0
,,,,0.0,16.0
,,,,0.0,3.0
,,,,0.0,0.0
,,,,0.0,4.0
,,,,0.0,10.0
,,,,0.0,16.0
PR3129,,,Y-05-01,,
8WK-4C70_cctv__TR4446,,,B-01-06,,
Wardrobe_Organiser_GREY,N-03-02_KK123_Wardrobe Organiser GREY_Peter_29,N-03-02,N-03-03,10.0,12.0
,,,,0.0,0.0
,,,,0.0,8.0
,,,,16.0,2.0
Pr3740,,,P-01-05,,
,,,,0.0,15.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,10.0
,,,,0.0,11.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,3.0
,,,,0.0,0.0
,,,,0.0,9.0
,,,,0.0,0.0
,,,,0.0,3.0
,,,,0.0,7.0
,,,,0.0,0.0
,,,,0.0,13.0
,,,,0.0,0.0
,,,,0.0,12.0
,,,,5.0,-4.0
,,,,10.0,-3.0
,,,,0.0,0.0
,,,,10.0,0.0
,,,,10.0,1.0
,,,,15.0,-4.0
,,,,0.0,1.0
,,,,20.0,0.0
,,,,0.0,13.0
,,,,0.0,0.0
,,,,0.0,2.0
,,,,0.0,3.0
,,,,0.0,20.0
,,,,10.0,0.0
,,,,10.0,4.0
,,,,0.0,11.0
,,,,0.0,109.0
,,,,0.0,0.0
,,,,10.0,3.0
