Code,Name,Old Location,New Location,Coming Stock,Stock
JET_PUMP_BLACK_1HP_TR4357,KK123_Jye pump Black 1HP,KK123,O-03-02,10,0
STONE_TABLE_120WHITE_TR1106,Z-07-01_KK123_Marble Texture Modern Rectangle Coffee Table,Z-07-01,R-04-01,14,0
BBQ_COOCKER_TR4478,3 in 1 Vertical Charcoal Smoker,3 in 1 Vertical Charcoal Smoker,P-03-05,10,0
BASKETBALL_HOOP_RED_2.1M,P-05-04_KK123_basketball hoop plese checksize on picture,P-05-04,P-03-05,10,0
RACK_BASKET_122CM,Q-01-04_KK123_Universal Roof Rack Basket Car Top 1198 0.175 10kg,Q-01-04,Q-01-04,8,9
DOG_PANEL_100CM,Y-04-01_KK123_Dog Pen RV Dog Fence Playpens 100CM 0.149 21,Y-04-01,P-02-04,10,0
TYRE_CHANGER_TR4345,KK123_Tyre Changer,KK123,O-03-04,10,0
INVERSION_TABLE_CHEX,Z-05-01_KK123_Gravity Heavy Duty Inversion Table Protective Belt,Z-05-01,Z-05-01,4,1
PLAYPEN_80*10PAN_TR4078,Z-05-01_KK123_10 Pannel Pet Play Pen XL80X80cm 10 panels,Z-05-01,Z-06-01,19,19
PLAYPEN_80*6PAN_TR4077,Z-06-01_KK123_43_Pet Play Pen Dog Pen 80X80 cm 6 panels_02,Z-06-01,O-03-04,4,14
